metric_name,2013 Peak,2017 Peak,2021 Apr Peak,2021 Nov Peak,2024 Mar Peak,2025 Top Peak
ahr999,-2.0,-1.7785790696291128,-0.7288447205923811,-0.24468784281101819,0.2674327390836987,0.5555319141944781
aviv_nupl,-2.0,-2.0,-2.0,-1.8588539272460887,-1.8119708423866405,-1.28401823718045
aviv_ratio,-1.836546887344428,-2.0,-1.794349260549483,-1.3192496881435647,-1.410599069879432,-0.8608179743636866
cvdd_ratio,-1.604946887551162,-0.5925954394629191,0.17523863904340808,0.43449252701010055,0.718873352006231,0.8258754583277075
dvrsi,-2.0,-2.0,-1.255034904153037,-1.6440127969701113,-1.9342186515750495,-2.0
fear_greed_cmc,,,,,-2.0,0.34333333333333305
fear_greed_og,,,-2.0,-2.0,-2.0,0.7599999999999995
lth_sth_sopr_ratio,-2.0,-2.0,-2.0,-0.18197411665014962,-0.33806459528792887,-0.11538310021944342
mvrv_z,-2.0,-2.0,-0.706213801847029,-0.11822397872881685,-0.35723470189857576,0.044499729122824294
pi_cycle_top,-2.0,-2.0,-2.0,0.045099576266640407,-0.8182831154879739,0.044235361777835935
risk_metrics,-2.0,-2.0,-1.6572993169569408,-0.24462064926625637,-0.9102655792001124,0.13028458550165978
sharpe_ratio_52w,-2.0,-2.0,-2.0,-0.9449786058729357,-1.4774008313020315,-0.7148172317586663
terminal_price_ratio,2.0,2.0,2.0,1.3998033537183443,0.3879390021155831,-0.0184201124386818
two_year_ma,-2.0,-2.0,-1.8992647917496104,-0.5899553649023881,-0.48681269348666234,0.3719754312150141
unrealized_sell_risk,-2.0,-2.0,-2.0,-1.1015360296229688,-0.9093783989509721,0.07857908321238005
vpli,-2.0,-2.0,-2.0,-1.7539287925456677,0.07456361409258394,0.168989517367779
williams_r,-1.0851285163191888,-1.893035322394963,-1.842673409802096,-1.6779553481530796,-1.8786501633984223,-1.8833878044029249
